brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist
558_cosrx,Hydrium Centella Aqua Soothing Ampoule,63047,70,Rp 385.000,"""40 ml"": 385000",https://www.sociolla.com/ampoule/15780-hydrium-centella-aqua-soothing-ampoule,2022-05-05T02:30:59.850Z,Ampoule,Skincare; Treatment; Ampoule,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.592715231788079,302,"""star_effectiveness"": 4.5364238410596025; ""star_packaging"": 4.745033112582782; ""star_texture"": 4.7947019867549665; ""star_value_for_money"": 4.2947019867549665",286,75,26,201,2007
558_cosrx,Hyaluronic Essence + Cream,69745,110,Rp 598.000,,https://www.sociolla.com/essence/16819-hyaluronic-essence-cream,2022-07-04T06:57:06.916Z,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.347222222222222,9,"""star_effectiveness"": 4.777777777777778; ""star_packaging"": 4.777777777777778; ""star_texture"": 3.5; ""star_value_for_money"": 4.333333333333333",9,3,0,6,2368
558_cosrx,Ultimate Nourishing Rice Overnight Spa Mask,6412,50,Rp 269.000,"""60 ml"": 269000",https://www.sociolla.com/sleeping-mask/9592-ultimate-nourishing-rice-overnight-spa-mask,2022-05-12T03:47:05.653Z,Sleeping Mask,Skincare; Face Mask; Sleeping Mask,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.427316293929713,1252,"""star_effectiveness"": 4.35702875399361; ""star_packaging"": 4.623801916932908; ""star_texture"": 4.5095846645367414; ""star_value_for_money"": 4.218849840255591",1124,360,168,724,4936
558_cosrx,Full Fit Propolis Light Ampoule,74929,80,Rp 435.000,"""30 ml"": 435000",https://www.sociolla.com/ampoule/28109-full-fit-propolis-light-ampoule,2022-09-19T09:05:40.658Z,Ampoule,Skincare; Treatment; Ampoule,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.601549153944364,334,"""star_effectiveness"": 4.66966966966967; ""star_packaging"": 4.781437125748503; ""star_texture"": 4.727544910179641; ""star_value_for_money"": 4.227544910179641",321,71,15,248,2574
558_cosrx,COSRX Low pH Good Morning Gel Cleanser 20mL,98476,0,Rp 30.000,"""20ml"": 30000",https://www.sociolla.com/cleansing-gel/70134-cosrx-low-ph-good-morning-gel-cleanser-20ml,2022-11-16T17:19:38.021Z,Cleansing Gel,Skincare; Cleanser; Cleansing Gel,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.798387096774194,93,"""star_effectiveness"": 4.763440860215054; ""star_packaging"": 4.860215053763441; ""star_texture"": 4.849462365591398; ""star_value_for_money"": 4.720430107526882",91,11,4,78,500
558_cosrx,Two in One Poreless Power Liquid,19791,60,Rp 315.000,"""100 ml"": 315000",https://www.sociolla.com/essence/12514-two-in-one-poreless-power-liquid,2022-05-27T18:03:18.789Z,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.42478354978355,461,"""star_effectiveness"": 4.285714285714286; ""star_packaging"": 4.666666666666667; ""star_texture"": 4.603896103896104; ""star_value_for_money"": 4.142857142857143",407,139,61,262,2605
558_cosrx,Pure Fit Cica Cream,81952,80,Rp 439.000,"""50 ml"": 439000",https://www.sociolla.com/face-cream-lotion/53610-pure-fit-cica-cream,2022-05-12T02:56:08.656Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.601503759398497,133,"""star_effectiveness"": 4.639097744360902; ""star_packaging"": 4.7819548872180455; ""star_texture"": 4.631578947368421; ""star_value_for_money"": 4.353383458646617",125,29,11,93,730
558_cosrx,COSRX Advanced Snail 96 Mucin Power Essence 30mL,98478,10,Rp 95.000,"""30ml"": 95000",https://www.sociolla.com/treatment/70136-cosrx-advanced-snail-96-mucin-power-essence-30ml,2022-11-17T11:01:32.673Z,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.702643171806168,227,"""star_effectiveness"": 4.71806167400881; ""star_packaging"": 4.6784140969163; ""star_texture"": 4.828193832599119; ""star_value_for_money"": 4.58590308370044",220,26,12,189,2867
558_cosrx,Balancium Comfort Ceramide Cream,34718,70,Rp 369.000,"""80 ml"": 369000",https://www.sociolla.com/face-cream-lotion/12098-balancium-comfort-ceramide-cream,2023-09-14T02:36:29.795Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.533410138248848,217,"""star_effectiveness"": 4.589861751152074; ""star_packaging"": 4.732718894009216; ""star_texture"": 4.447004608294931; ""star_value_for_money"": 4.364055299539171",205,60,16,141,1633
558_cosrx,AC Collection Acne Hero kit Mild 2.0,80398,60,Rp 349.000,,https://www.sociolla.com/skin-care-set/52056-ac-collection-acne-hero-kit-mild-2-0,2022-04-30T15:42:34.261Z,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.586268510900864,143,"""star_effectiveness"": 4.477941176470588; ""star_packaging"": 4.818181818181818; ""star_texture"": 4.699300699300699; ""star_value_for_money"": 4.34965034965035",125,34,19,90,1529
558_cosrx,AC Collection Acne Hero Kit Intensive 2.0,80399,60,Rp 349.000,,https://www.sociolla.com/skin-care-set/52057-ac-collection-acne-hero-kit-intensive-2-0,2022-04-29T03:03:49.346Z,Skin Care Set,Skincare; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.625478927203065,261,"""star_effectiveness"": 4.555555555555555; ""star_packaging"": 4.762452107279693; ""star_texture"": 4.704980842911877; ""star_value_for_money"": 4.478927203065134",238,64,29,168,1920
558_cosrx,Advanced Snail Radiance Dual Essence,91699,100,Rp 505.000,"""80ml"": 505000",https://www.sociolla.com/essence/63357-advanced-snail-radiance-dual-essence,2022-04-30T15:55:18.077Z,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.704918032786885,61,"""star_effectiveness"": 4.704918032786885; ""star_packaging"": 4.754098360655738; ""star_texture"": 4.967213114754099; ""star_value_for_money"": 4.39344262295082",58,11,5,45,1258
558_cosrx,COSRX Oil-Free Ultra-Moisturizing Lotion (with Birch Sap) 20mL,98480,10,Rp 75.000,"""20ml"": 75000",https://www.sociolla.com/face-cream-lotion/70138-cosrx-oil-free-ultra-moisturizing-lotion-with-birch-sap-20ml,2022-11-17T11:02:08.538Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.666071428571429,140,"""star_effectiveness"": 4.614285714285714; ""star_packaging"": 4.8; ""star_texture"": 4.792857142857143; ""star_value_for_money"": 4.457142857142857",136,28,9,103,1495
558_cosrx,Pure Fit Trial Kit (Cica 7 Relief Kit),80401,60,Rp 349.000,,https://www.sociolla.com/default-category/52059-pure-fit-trial-kit-cica-7-relief-kit,2022-05-12T03:13:19.764Z,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.642857142857142,35,"""star_effectiveness"": 4.571428571428571; ""star_packaging"": 4.914285714285715; ""star_texture"": 4.771428571428571; ""star_value_for_money"": 4.314285714285714",35,10,2,23,751
