user_name,is_expert_reviewer,user_level,user_id,skin_types,age_range,is_repurchase,is_recommended,star_effectiveness,star_packaging,star_texture,star_value_for_money,source,created_at,total_likes,is_verified_purchase,details,duration_of_used,product_id,product_name,product_size
nnjanti,False,Super Star,5fd9fba4b168e60a705e897c,Kulit Berminyak;Jerawat;Flek;Pori Besar;Kulit Kusam;Komedo,25 - 29 th,maybe,yes,3,4,5,3,review-android,2023-07-18T09:23:41.162Z,0,True,sebagai sunblock kurang melindungi sih. masih gosong atu tuh pake ini. lebih mempan pakai loreal. tapi dia bagus dipake kalo kulit lagi kering karena melembabkan.,1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
goldenplump,False,Diva Star,5df105fbb126167b4973a087,Kulit Kombinasi,19 - 24 th,yes,yes,5,5,5,5,review-android,2023-07-18T08:43:06.771Z,0,True,sunscreen yang spf 50 tapi ga gerah ga lengket pokoknya teksturnya nyaman banget mau dipakai di bawah makeup juga ga masalah soalnya ga ngerusak lapisan makeup,1 Week - 1 Month,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
vianyrevita,False,Rising Star,5cfe6b87bc95c20005c33f9e,Kulit Kombinasi;Pori Besar,25 - 29 th,yes,yes,5,5,5,5,review-ios,2023-07-18T07:47:26.227Z,0,False,repurchase yg kedua 😍 buat kulit normal to dry pasti suka deh sama suncream ini krna ada kandungan aloe nya jadi bantu kasi hydration lebih dan kasih effect soothing waktu kulitku lagi kering2 nya. ada tone up nya sedikit di aku jadi kulit lebih fresh gitu deh 🫶,More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
ayiregiarty,False,Diva Star,5c1aaed83b351a3320c2749e,Kulit Normal;Kulit Kering;Kulit Kombinasi;Cellulite;Stretch Mark;Jerawat;Flek;Pori Besar;Kulit Kusam;Kantung Mata;Dark Circle;Komedo,30 - 34 th,yes,yes,5,5,5,5,soco-web-desktop,2023-07-18T05:57:03.374Z,0,True,"amaze sama sunscreen ini, sebelumnya pake sunscreen ada effect burningnya.. sunscreen ini calming banget, texture agak thick tapi ga bikin white cast.. TOP..",1 Week - 1 Month,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
ciyeah,False,Rising Star,6294501c559dafd97e0807bb,Jerawat;Komedo;Kulit Kombinasi,19 - 24 th,yes,yes,5,5,5,5,review-android,2023-07-18T04:10:13.315Z,0,True,"bagus bgt mudah diblend pokoknya gudla, harganya juga termasuk affordable utk brand yg gede kek cosrx. travel friendly juga krna ukurannya yang gak gede2 amat jdi muat di tas ato di pouch.",3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
Septaputri,False,SOCO Star,61777fe5c816bdde12c56cae,,25 - 29 th,yes,yes,5,5,3,4,review-android,2023-07-18T02:38:18.169Z,0,True,sunscreen ini hitungannya mahal ya tapi bagus bangettt. walaupun tekstur awalnya berat tp kalau udh meresap ringan aja di wajah. terus cukup efektif digunakan setiap hari.,6 Months - 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
lin9lu0,False,Super Star,5db52684af538a3577578af3,,35 - 39 th,yes,yes,5,5,5,5,review-android,2023-07-17T14:04:41.773Z,0,True,cocok banget pake sun cream cosrx ini. tidak bikin jerawat di kulitku yang sensitif dan cepat meresap sehingga bisa langsung pake primer dan fondation. pembelian yang ke-3 nichhh ,More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
DevikaTan,False,Super Star,6335c14fa539cb2be7b8b31e,,19 - 24 th,yes,yes,5,5,5,5,review-android,2023-07-17T11:15:39.786Z,0,True,"Idk this is the BEST SUNSCREEN EVER buat kukitku yg sensitif and combi🥲 Trust me, ini ga bikin muka greasy banget, produknya nyerepnya cepet banget. selama pake ini, entah kenapa jerawat2 batu, jerawat kecil2 yg suka nongkrong di dahi sama dagu jadi ilang semua loh🥲 and yg paling penting, dia ga ada whiteningnya jdi aku suka banget✨",More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
Yatma.khan,False,Super Star,5fdaea5d9b5a0db5bd34a353,Kulit Kombinasi;Kulit Kusam;Kantung Mata,30 - 34 th,yes,yes,5,5,4,4,review-android,2023-07-17T08:54:07.316Z,0,True,"ini beli ini harganya lumayan woooow banget, jadi murah waktu itu beli di clearance sale.kalo beli biasa harganya luamayan mahal.ya lumayan jadi belii",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
luthfianaulil,False,Diva Star,5c1ac3883b351a3320fe5b71,Kulit Sensitif;Kulit Kering;Komedo;Kulit Kusam,25 - 29 th,yes,yes,5,5,5,5,review-ios,2023-07-17T08:40:10.674Z,0,True,"Setelah berkelana coba-coba berbagai macam sunscreen, sunscreen cosrx ini yang paling enak, teksturnya gel, mudah diblend, no white cast dan bisa nglembabin kulit keringku",6 Months - 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
EkaAndila,False,SOCO Star,611c8a8f413eedbb03feccb0,Kulit Berminyak;Jerawat;Pori Besar;Komedo,19 - 24 th,yes,yes,5,5,5,5,review-android,2023-07-17T05:45:03.239Z,0,False,"cocok buat kaum kaum yg males pakai moisturizer sebelum pake sun screen, kenapa? soalnya sun screen ini bikin kulit lembab dengan kandungan aloevera nya. dan pertama kali aku nyobain ada sensasi sedikit dinginnya jadi seger dimuka. terus dia gampang bgt di blend nya, ga ada white cast ga greasy sama sekali. buat kulit oily kayak aku juga masih aman bgt masih nyaman di kulit karena tekstur nya ringan. harga oke kualitas udah mirip sama ss yg harganya 300rban ",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
